Occurred,Lon,Lat,City,State,Country,Shape,Summary,Media,Explanation
12/3/2021,-71.535978,43.204381,Concord,NH,USA,Cylinder,Witness an enormously long cylindrical craft,,Starlink
3/7/2003,-79.8597708,40.3814581,Duquesne,PA,USA,Other,"V-shaped, very small lights.",,
4/21/1974,-122.100222,47.3657791,Covington,WA,USA,Light,Blue light. Fast.,,
9/16/2009,-95.4560512,30.3118769,Conroe,TX,USA,Chevron,"Chevron object, no noise, no lights.",,
4/26/2012,-117.6981075,33.4669721,Dana Point,CA,USA,Light,Orange light travels across sky then disappears.,,
4/18/1960,-96.66758607,33.07498545,Allen,TX,USA,Light,Burst of bright flashing of lights that lit up the sky.,,
6/5/2007,-91.7273032,44.9987625,Colfax,WI,USA,Orb,"Very large, and very intense light in clear dark night sky moving erratically and appeared to have landed. ((NUFORC Note: Venus?? PD)",,
9/14/2018,-87.6244212,41.8755616,Chicago,IL,USA,Changing,30- to 50 flashing object in the sky not moving for a while and then slowly moving to the east . Two of them stayed behind for a little,,
9/10/2003,-98.3161241,29.5180081,Converse,TX,USA,Triangle,Triangle shaped object seen near Randolph AFB,,
12/4/2019,-72.4613902,41.4529215,East Haddam,CT,USA,Flash,UFO Sighting,,
8/6/2007,-96.66758607,33.07498545,Allen,TX,USA,Cigar,"Suddenly a cigar shaped object, bluish white in color sped across the sky underneath the planet Jupiter and rising as it sped across th",,
4/18/1941,-87.6244212,41.8755616,Chicago,IL,USA,Light,I was out on the padio after a long day of work at macys. When I hear my mom strait freaking out. She spotted what is to be believed th,,
5/25/1968,-108.0729172,38.7436121,Delta,CO,USA,Sphere,Slow moving large red spherical object moving in a upward direction over the town. The object then split into two seperate objects and,,
4/12/2025,-71.0392173,42.3750973,Boston,MA,USA,Sphere,2 small consecutive black dots over Charles River,,
9/15/2005,-78.837046,42.866775,Buffalo,NY,USA,Oval,silent soft green shimmering craft,,
11/13/2020,-108.504535,37.4738818,Dolores,CO,USA,Light,Observed a point of light move and stop in the evening sky.,,
7/24/2023,-78.837046,42.866775,Buffalo,NY,USA,Circle,Large ufo/uap-sighted in the skies of Shoshone Park in Buffalo New York 14214,,
6/21/1998,-97.4033191,27.7635302,Corpus Christi,TX,USA,Cylinder,Gentlemen I have always been someone who relies on experiential knowledge. I have always felt that the likelyhood of other intelligence,,
11/11/2022,-73.0014946,40.8687097,Coram,NY,USA,Other,Three limb ufo,,
8/30/2019,-75.4360112,40.9389804,Effort,PA,USA,Orb,"On the night of August 30, 2019, my wife and were standing on our deck observing the sky. It was a very clear night full of stars.",,
10/5/2023,-87.6244212,41.8755616,Chicago,IL,USA,Light,Lights maneuvering rapidly at extreme altitude,,
3/20/1930,-92.4398402,35.0891932,Conway,AR,USA,Cylinder,Heard a rumbling in the sky and then saw a yellow streak just above the treeline.Looked to have a yellowish color. With either red writ,,
4/3/1969,-72.1847598,40.9633868,East Hampton,NY,USA,Circle,Strange light in the sky,,
4/10/1982,-81.7906847,38.4203709,Cross Lanes,WV,USA,Triangle,It was triangular and had lights on all corners with a glow coming from the center,,
9/24/2005,-96.3776762,33.9919761,Durant,OK,USA,Other,A Bright Light High Up in The Southern Sky...,,
2/10/1995,-118.1292846,33.9404441,Downey,CA,USA,Circle,Saw 3 large cloud like hollow circles in the very clear night sky.,,
11/20/1977,-104.830994,39.7405111,Aurora,CO,USA,Circle,i could see it but my friend standing next to me could not it was plain as day right there.,,
8/12/2022,-88.9607122,40.152645,Clinton,IL,USA,Cylinder,Spiral light flashing in the sky,Y,
5/2/2022,-84.138662,34.206744,Cumming,GA,USA,Fireball,I was walking to my home coming back from the poll looked up clear blue sky two white balls of light beaming white light no other color,,
4/18/2001,-116.962526,32.7947731,El Cajon,CA,USA,Chevron,"Light changing sppeds, direction and brightness in san diego",,
8/11/1992,-97.68606624,30.256999399999998,Austin,TX,USA,Disk,Hovering above houses across street from me it sounded like helicopter with lights going around it was very close,,
3/8/2022,-116.77019,47.7296276,Dalton Gardens,ID,USA,Changing,Not sure what I just seen,,
4/4/2009,-72.9464859,41.6735209,Bristol,CT,USA,Cigar,i do not believe it was something from this planet...very strange.,,
4/10/1993,-96.648937,43.999138,Egan,SD,USA,Light,"Extremely bright white light getting bigger then, smaller and zooming away",,
4/6/2010,-80.0914548,38.2745635,Edray,WV,USA,Light,Intensely bright red light in the sky which hovered shortly direclty overhead and was seen again in woods minutes later,,
8/17/1998,-78.3502969,42.9020042,Darien,NY,USA,Triangle,UFO over a failed Laser Light show at Six Flags Park.,,
9/12/2007,-104.830994,39.7405111,Aurora,CO,USA,Egg,Two flashing objects in night sky.,,
4/29/1942,-70.927048,43.134564,Durham,NH,USA,Other,"Hovering above the trees, then it just takes off",,
7/4/2021,-120.0164591,47.8409698,Chelan,WA,USA,Changing,Playful family of UFOs,,
4/21/1989,-92.246739,38.990632,Columbia,MO,USA,Light,"It was at this time we saw a large, fire engine red object, a little smaller than a dime at arm’s length just above the tops of the tre",,
7/4/2005,-116.962526,32.7947731,El Cajon,CA,USA,Light,"Red Object West of San Diego, CA",,
